hero1,hero2
CAPTAIN AMERICA,MR. FANTASTIC DOPPEL
CAPTAIN AMERICA,MINERVA [KREE]
CAPTAIN AMERICA,"RICHARDS, FRANKLIN B"
CAPTAIN AMERICA,"HITLER, ADOLF"
CAPTAIN AMERICA,DR. DOOM/VICTOR VON 
CAPTAIN AMERICA,"CARTER, SHARON"
CAPTAIN AMERICA,WAYOPEX
CAPTAIN AMERICA DOPP,NAMORITA/NITA PRENTI
CAPTAIN AMERICA DOPP,HULK DOPPELGANGER II
CAPTAIN AMERICA DOPP,INVISIBLE WOMAN/SUE 
CAPTAIN BRITAIN/BRIA,SHADOWCAT/KATHERINE 
CAPTAIN BRITAIN/BRIA,"MACTAGGERT, MOIRA KI"
CAPTAIN BRITAIN/BRIA,NIGHTCRAWLER/KURT WA
CAPTAIN BRITAIN/BRIA,NIGHTCRAWLER/KURT WA
CAPTAIN BRITAIN/BRIA,"ROBERTSON, JOE"
CAPTAIN BRITAIN/BRIA,"SZARDOS, MARGALI"
CAPTAIN BRITAIN/BRIA,DOC SAMSON/DR. LEONA
CAPTAIN BRITAIN/BRIA,PSYLOCKE/ELISABETH B
CAPTAIN BRITAIN/BRIA,PSYLOCKE/ELISABETH B
CAPTAIN BRITAIN/BRIA,IRON MAN/TONY STARK 
CAPTAIN BRITAIN/BRIA,SHADOWCAT 2013
CAPTAIN BRITAIN/BRIA,PROFESSOR X/CHARLES 
CAPTAIN BRITAIN/BRIA,LOCKHEED
CAPTAIN BRITAIN/BRIA,MODRED THE MYSTIC
CAPTAIN BRITAIN/BRIA,MEGGAN
CAPTAIN BRITAIN/BRIA,MEGGAN
CAPTAIN BRITAIN/BRIA,N'ASTIRH
CAPTAIN BRITAIN/BRIA,ICEMAN/ROBERT BOBBY 
CAPTAIN HAWK,SCARLET CENTURION
CAPTAIN HAWK,"WILLIAMS, MINDY"
CAPTAIN HAWK,NIGHTHAWK/KYLE RICHM
CAPTAIN HAWK,POWER PRINCESS/ZARDA
CAPTAIN MARVEL II/MO,"KINCAID, DR. KEITH"
CAPTAIN MARVEL II/MO,VISION 
CAPTAIN MARVEL II/MO,THOR/DR. DONALD BLAK
CAPTAIN MARVEL II/MO,FORGOTTEN ONE/GILGAM
CAPTAIN MARVEL II/MO,ROGUE /
CAPTAIN MARVEL II/MO,SPIDER-MAN/PETER PAR
CAPTAIN MARVEL II/MO,SERSI/SYLVIA
CAPTAIN MARVEL II/MO,KARNAK [INHUMAN]
CAPTAIN MARVEL II/MO,SUB-MARINER/NAMOR MA
CAPTAIN MARVEL II/MO,HERMES [GREEK GOD]
CAPTAIN MARVEL II/MO,QUICKSILVER/PIETRO M
CAPTAIN MARVEL II/MO,FANDRAL [ASGARDIAN]
CAPTAIN MARVEL II/MO,THING/BENJAMIN J. GR
CAPTAIN MARVEL II/MO,STARFOX/EROS
CAPTAIN MARVEL II/MO,STARFOX/EROS
CAPTAIN MARVEL II/MO,"JARVIS, EDWIN "
CAPTAIN MARVEL II/MO,WONDER MAN/SIMON WIL
CAPTAIN MARVEL II/MO,WONDER MAN/SIMON WIL
CAPTAIN MARVEL II/MO,NIGHTCRAWLER/KURT WA
CAPTAIN MARVEL II/MO,ZARIN
CAPTAIN MARVEL III/G,FIRESTAR/ANGELICA JO
CAPTAIN MARVEL III/G,ERIC THE RED [SHI'AR
CAPTAIN MARVEL III/G,SUPER SKRULL/KL'RT
CAPTAIN MARVEL III/G,DRAX/ARTHUR DOUGLAS
CAPTAIN MARVEL/CAPTA,SUPREME INTELLIGENCE
CAPTAIN MARVEL/CAPTA,WHITE TIGER/HECTOR A
CAPTAIN MARVEL/CAPTA,SAGITTARIUS/HARLAN V
CAPTAIN MARVEL/CAPTA,IRON MAN/TONY STARK 
CAPTAIN MARVEL/CAPTA,"JONES, RICHARD MILHO"
CAPTAIN MARVEL/CAPTA,NIGHTHAWK II/KYLE RI
CAPTAIN MARVEL/CAPTA,DRAX/ARTHUR DOUGLAS
CAPTAIN MARVEL/CAPTA,QUICKSILVER/PIETRO M
CAPTAIN MARVEL/CAPTA,VISION 
CAPTAIN U.K./LINDA M,FERRO2
CAPTAIN U.K./LINDA M,WIDGET
CAPTAIN ULTRA/GRIFFI,"KINCAID, DR. KEITH"
CAPTAIN ULTRA/GRIFFI,LUNATIK/ARISEN TYRK
CARDIAC/DR. ELI WIRT,"URICH, BEN"
CARDIAC/DR. ELI WIRT,VENOM/EDDIE BROCK
CARDINAL/CLEMDENON,"KINGMAN, BILL"
CARDINAL/CLEMDENON,JUSTICE II/VANCE AST
CARGIL/JOANNA CARGIL,"URSULA, LADY"
CARNAGE/CLETUS KASAD,"LUMPKIN, WILLIAM WIL"
CARNIVORE/COUNT ANDR,NOVA/RICHARD RIDER
"CARPENTER, LARRY",WONDER MAN/SIMON WIL
"CARPENTER, LARRY","MUGGINS, MAMIE"
"CARPENTER, RACHEL",MOONRAKER/SLADE TRUM
"CARPENTER, RACHEL",SHIGARU
"CARPENTER, RACHEL","CLEMSON, MIKE"
"CARPENTER, RACHEL",RECORDER II
"CARRADINE, JESSICA J",KAINE
"CARRADINE, JESSICA J","TRAINER, DR. SEWARD"
"CARRERA, MIA",VERMIN/EDWARD WHELAN
CARRION,"LEEDS, BETTY BRANT"
"CARSON, LT. PAUL",RAMROD II
"CARSON, LT. PAUL",DAREDEVIL/MATT MURDO
"CARTER, PEGGY",THOR/DR. DONALD BLAK
"CARTER, PEGGY","MASTERSON, KEVIN"
"CARTER, PEGGY",GRIFFIN II/JOHNNY HO
"CARTER, PEGGY","JAMESON, J. JONAH"
"CARTER, PEGGY",COACHWHIP
"CARTER, PEGGY",PALADIN/PAUL DENNIS
"CARTER, PEGGY",SERSI/SYLVIA
"CARTER, PEGGY","CARTER, SHARON"
"CARTER, SHARON",PROTOCIDE/PRIVATE CL
"CARTER, SHARON","FURY, COL. NICHOLAS "
"CARTER, SHARON","FURY, COL. NICHOLAS "
"CARTER, SHARON",DYNA-MITE/ROGER AUBR
"CARTER, SHARON",SCHEMER/RICHARD FISK
"CARTER, SHARON",IRON MAN/TONY STARK 
"CARTER, SHARON","WESTPHAL, SIMON"
"CARTER, SHARON",REDWING
"CARTER, TAD",POLARIS/LORNA DANE
"CASE, COL. PRESTON",HELA [ASGARDIAN]
"CASSADA, CARLOS",SERSI/SYLVIA
"CASSADA, CARLOS",SHA SHAN
"CASSADA, MICHAEL","CASSADA, ROBERTO"
"CASSADA, ROBERTO","WATSON-PARKER, MARY "
"CASSADA, ROSA",SPIDER-MAN/PETER PAR
"CASSADA, ROSA",QUASAR III/WENDELL V
"CASSADA, ROSA",HULK/DR. ROBERT BRUC
CAT MAN/HORGAN,DAREDEVIL/MATT MURDO
CATAPHRAX,"DAMIAN, MARGO"
CATAPHRAX,THOR/DR. DONALD BLAK
CATHODE/,DEATHLOK III/MICHAEL
CATSEYE/SHARON SMITH,"PIERCE, DONALD"
CATSEYE/SHARON SMITH,MIRAGE II/DANIELLE M
CATSEYE/SHARON SMITH,JETSTREAM/HAROUD IBN
CATSEYE/SHARON SMITH,EMPATH/MANUEL ALFONS
CEREBRO,STORM/ORORO MUNROE S
CEREBRO,"CORBEAU, DR. PETER"
CEREBRO,COLOSSUS II/PETER RA
CERISE II [SHI'AR],KYLUN/COLIN MCKAY
CH'OD,"SUMMERS, MADELYNE MA"
CH'OD,CRYSTAL [INHUMAN]
CH'OD,RAZA LONGKNIFE
CH'OD,CR'REEE
CH'OD,FORGE
CH'OD,VISION 
CH'OD,ELECTRON
CH'OD,ZABU
"CHADWICK, CHEER",SCARUM/
CHAKA KHAN,"KNIGHT, MISTY"
"CHALIZ, TABRIAZ",JACK O'LANTERN II/MA
"CHALIZ, TABRIAZ",MAGUIRE
"CHALKER, PROF. VIC",MULTIPLE MAN/JAMES A
"CHALMERS, CYNTHIA",PSYLOCKE/ELISABETH B
CHAMBER/JONOTHON STA,SKIN/ANGELO ESPINOSA
CHAMBER/JONOTHON STA,D.O.A.
CHAMBER/JONOTHON STA,PENANCE/MONET ST. CR
CHAMBER/JONOTHON STA,GATEWAY
CHAMBER/JONOTHON STA,MURMUR/
CHAMBER/JONOTHON STA,WHITE QUEEN/EMMA FRO
CHAMBER/JONOTHON STA,WHITE QUEEN/EMMA FRO
CHAMBER/JONOTHON STA,"FROST, CORDELIA"
CHAMBER/JONOTHON STA,"FROST, ADRIENNE"
CHAMBER/JONOTHON STA,JUBILEE/JUBILATION L
"CHAMBERS, MR.",DR. STRANGE/STEPHEN 
CHAMELEON/DMITRI SME,"PARKER, MAY"
CHAMELEON/DMITRI SME,"LUMPKIN, WILLIAM WIL"
"CHANDLER, PEGGY",VISION 
"CHANEY, AMANDA",QUICKSILVER/PIETRO M
"CHANEY, AMANDA","GRANT, PHILLIP"
"CHANEY, AMANDA",MOONRAKER/SLADE TRUM
"CHANG, DR. PHILLIP",CLOAK/TYRONE JOHNSON
"CHANG, DR. PHILLIP","WHITMAN, DEBRA"
CHANGELING,PROFESSOR X/CHARLES 
CHANGELING,"MASON, LOUISE"
CHARCOAL/CHARLIE BUR,KLAW/ULYSSES KLAW
CHARCOAL/CHARLIE BUR,KLAW/ULYSSES KLAW
CHARCOAL/CHARLIE BUR,NUKLO/ROBERT FRANK J
CHARCOAL/CHARLIE BUR,"MOWAT, FARLEY"
CHARCOAL/CHARLIE BUR,CITIZEN V III/DALLAS
CHARCOAL/CHARLIE BUR,MOONSTONE II/KARLA S
CHARCOAL/CHARLIE BUR,"HAGGERT, BOB"
CHARM,MAKKARI/MIKE KHARY/I
"CHASE, DETECTIVE SLO",SPIDER-MAN CLONE/BEN
"CHATTERTON, DAVE",MAKKARI/MIKE KHARY/I
"CHEEVER, JOHN",LILANDRA NERAMANI [S
"CHEEVER, JOHN",WOLVERINE/LOGAN 
"CHEKOV, ARTHUR ANTON",SPIDER-MAN/PETER PAR
"CHEKOV, ARTHUR ANTON",SPIDER-MAN/PETER PAR
"CHEKOV, ARTHUR ANTON","THOMPSON, EUGENE FLA"
CHEN,SILVER SABLE
"CHEN, DR.",FIRESTAR/ANGELICA JO
"CHENEY, LILA",STRONG GUY/GUIDO CAR
"CHENEY, LILA",HAVOK/ALEX SUMMERS 
CHINOOK,WILD CHILD/KYLE GIBN
CHINOOK,GUARDIAN V/JAMES MAC
CHONDU,"NORRISS, SISTER BARB"
"CHORD, ANDREW",NIGHT THRASHER/DUANE
"CHORD, ANDREW",SPHINX II
"CHORD, MIYAMI",SMILING TIGER/
"CHUNG, LAO WEI",HUMAN TORCH/JOHNNY S
"CHURCH, LYNN",FRENCHIE/JEAN-PAUL D
"CHURCH, LYNN",SONIC
"CIRE, EYLA","HAMID, SHEIK"
CITIZEN V II/HELMUT ,SCREAMING MIMI/MELIS
CITIZEN V II/HELMUT ,SCREAMING MIMI/MELIS
CITIZEN V II/HELMUT ,MOONSTONE II/KARLA S
CITIZEN V II/HELMUT ,MOLE MAN/HARVEY RUPE
CITIZEN V II/HELMUT ,PILEDRIVER II/BRIAN 
CITIZEN V II/HELMUT ,DIABLO/ESTEBAN DE AB
CITIZEN V II/HELMUT ,ZIRCONIUM
CITIZEN V II/HELMUT ,"ROSENTHAL, BERNIE"
CITIZEN V III/DALLAS,POWER MAN/ERIK JOSTE
CITIZEN V III/DALLAS,POWER MAN/ERIK JOSTE
CITIZEN V III/DALLAS,"STOCKBRIDGE, DEANNA"
CITIZEN V III/DALLAS,NOMAD III/JACK MONRO
CITIZEN V III/DALLAS,DYNA-MITE/ROGER AUBR
CITIZEN V III/DALLAS,MENTOR/ALARS [ETERNA
"CLARK, JOHN","ROM, SPACEKNIGHT"
"CLARK, SARAH","JACKSON, STEVE"
"CLARK, SARAH",TORPEDO III/BROCK JO
"CLARK, SARAH","ROM, SPACEKNIGHT"
"CLARKE, GENERAL JERE",KAMIKAZE
"CLARKE, GENERAL JERE",SUNFIRE/SHIRO YOSHID
"CLAY, GORDON",SILVER SURFER/NORRIN
CLEA,"NORRISS, SISTER BARB"
CLEA,DR. STRANGE/STEPHEN 
"CLEMSON, MIKE",IRON MAN IV/JAMES R.
"CLEMSON, MIKE",THERAK
"CLEMSON, MIKE","JAMESON, J. JONAH"
"CLINTON, BILL",IRON MAN/TONY STARK 
"CLINTON, BILL","MASTERS, ALICIA REIS"
"CLINTON, BILL",THOR/DR. DONALD BLAK
CLOAK/TYRONE JOHNSON,GEE/ALEX POWER
CLOAK/TYRONE JOHNSON,GEE/ALEX POWER
CLOAK/TYRONE JOHNSON,"NALES, DET. REBECCA "
CLOAK/TYRONE JOHNSON,"CUSHING, KATE"
CLOAK/TYRONE JOHNSON,DONYELL
CLOUD,"NORRISS, SISTER BARB"
CLOWN/CRAFTY ELIOT F,"JARVIS, EDWIN "
CLOWN/CRAFTY ELIOT F,ENCHANTRESS/AMORA/HE
COACHWHIP,"SIKORSKY, RAYMOND"
COACHWHIP,RATTLER
COACHWHIP,QUICKSILVER/PIETRO M
COBRA/KLAUS VORHEES,SCOURGE
COBRA/KLAUS VORHEES,FER DE LANCE/TERESA
COBRA/KLAUS VORHEES,DIAMONDBACK II/RACHE
COBRA/KLAUS VORHEES,"NELSON, FRANKLIN FOG"
COBRA/KLAUS VORHEES,STEEPLEJACK II/MAXWE
COBRA/KLAUS VORHEES,THOR/DR. DONALD BLAK
COBWEB,"SHERIDAN, RICHARD RI"
"COCKRUM, DAVE",HAVOK/ALEX SUMMERS 
"CODY, GARY",STORM/ORORO MUNROE S
"CODY, GARY",WOLVERINE/LOGAN 
"CODY, GARY",PUCK/EUGENE MILTON J
"CODY, GARY",TALISMAN II/ELIZABET
COLDBLOOD/,KRISTOFF/KRISTOFF VE
"COLE, LYNETTE","FURY, COL. NICHOLAS "
"COLE, WADE",MAGNETO/MAGNUS/ERIC 
"COLE, WADE","FRIEDLANDER, SHARON"
COLLECTIVE MAN,COLLECTOR/TANELEER T
COLLECTIVE MAN,VANGUARD/NICOLAI KRY
COLLECTIVE MAN II,FERAL/MARIA CALLASAN
COLLECTOR/TANELEER T,GREEN GOBLIN/NORMAN 
COLLECTOR/TANELEER T,HAWK
COLLECTOR/TANELEER T,THOR/DR. DONALD BLAK
COLLECTOR/TANELEER T,ETERNITY/ADAM QADMON
COLLECTOR/TANELEER T,THANE ECTOR
COLLECTOR/TANELEER T,REPTYL
COLLECTOR/TANELEER T,IRON FIST/DANIEL RAN
COLLECTOR/TANELEER T,SUNFIRE/SHIRO YOSHID
"COLLINS, BRADBURY","DRAGONBLOOD, ULYSSES"
"COLLINS, DEMITRIUS",THOR/DR. DONALD BLAK
"COLLINS, TRACY","DWORMAN, JIM"
"COLLINS, TRACY",DEATHLOK III/MICHAEL
"COLON, CHERYL","POWELL, GRACE"
COLOSSUS 2013,DESTINY II/IRENE ADL
COLOSSUS II DOPPELGA,SCARLET WITCH/WANDA 
COLOSSUS II DOPPELGA,SCARLET WITCH DOPPEL
COLOSSUS II DOPPELGA,HULK DOPPELGANGER II
COLOSSUS II/PETER RA,MAGMA/AMARA AQUILLA/
COLOSSUS II/PETER RA,LOCKHEED
COLOSSUS II/PETER RA,LADY DEATHSTRIKE/YUR
COLOSSUS II/PETER RA,SHADOWCAT/KATHERINE 
COLOSSUS II/PETER RA,DARKHAWK/CHRIS POWEL
COLOSSUS II/PETER RA,DARKHAWK/CHRIS POWEL
COLOSSUS II/PETER RA,ROGUE /
COLOSSUS II/PETER RA,ROGUE /
COLOSSUS II/PETER RA,FIREBIRD/BONITA JUAR
COLOSSUS II/PETER RA,"COOPER, DR. VALERIE"
COLOSSUS II/PETER RA,"TILBY, TRISH/PATRICI"
COLOSSUS II/PETER RA,PROFESSOR X/CHARLES 
COLOSSUS II/PETER RA,PROFESSOR X/CHARLES 
COLOSSUS II/PETER RA,PROFESSOR X/CHARLES 
COLOSSUS II/PETER RA,PROFESSOR X/CHARLES 
COLOSSUS II/PETER RA,HAWK
COLOSSUS II/PETER RA,HAWK
COLOSSUS II/PETER RA,HOLOCAUST
COLOSSUS II/PETER RA,"STANACHEK, FREDDIE"
COLOSSUS II/PETER RA,GLADIATOR II
COLOSSUS II/PETER RA,WENDIGO II/GEORGES B
COLOSSUS II/PETER RA,SCARLET WITCH/WANDA 
COLOSSUS II/PETER RA,MULTIPLE MAN/JAMES A
COLOSSUS II/PETER RA,CYCLOPS/SCOTT SUMMER
COLOSSUS II/PETER RA,CYCLOPS/SCOTT SUMMER
COLOSSUS II/PETER RA,CYCLOPS/SCOTT SUMMER
COLOSSUS II/PETER RA,CYCLOPS/SCOTT SUMMER
COLOSSUS II/PETER RA,KLAW/ULYSSES KLAW
COLOSSUS II/PETER RA,"GREY, DR. JOHN"
COLOSSUS II/PETER RA,HUMAN TORCH/JOHNNY S
COLOSSUS II/PETER RA,N'ASTIRH
COLOSSUS II/PETER RA,SASQUATCH/WALTER LAN
COLOSSUS II/PETER RA,STORM/ORORO MUNROE S
COLOSSUS II/PETER RA,STORM/ORORO MUNROE S
COLOSSUS II/PETER RA,STORM/ORORO MUNROE S
COLOSSUS II/PETER RA,STORM/ORORO MUNROE S
COLOSSUS II/PETER RA,LONGSHOT
COLOSSUS II/PETER RA,NIGHTCRAWLER/KURT WA
COLOSSUS II/PETER RA,NIGHTCRAWLER/KURT WA
COLOSSUS II/PETER RA,PYRO/ALLERDYCE JOHNN
COLOSSUS II/PETER RA,WOLVERINE/LOGAN 
COLOSSUS II/PETER RA,WOLVERINE/LOGAN 
COLOSSUS II/PETER RA,UATU
COLOSSUS II/PETER RA,WOLFSBANE/RAHNE SINC
COLOSSUS II/PETER RA,WOLFSBANE/RAHNE SINC
COLOSSUS II/PETER RA,"KELLY, SEN. ROBERT E"
COLOSSUS II/PETER RA,IRON MAN DOPPELGANGE
COLOSSUS II/PETER RA,"MACTAGGERT, MOIRA KI"
COLOSSUS II/PETER RA,"SUMMERS, MADELYNE MA"
COLOSSUS II/PETER RA,"HALLER, GABRIELLE"
COLOSSUS II/PETER RA,SPIDER-MAN/PETER PAR
COLOSSUS II/PETER RA,"SUMMERS, NATHAN CHRI"
COLOSSUS II/PETER RA,"JARVIS, EDWIN "
COLOSSUS II/PETER RA,HULK/DR. ROBERT BRUC
COLOSSUS II/PETER RA,PENANCE/MONET ST. CR
COLOSSUS II/PETER RA,"MAGNUM, MOSES"
COLOSSUS II/PETER RA,"LELAND, HARRY"
COLOSSUS II/PETER RA,GATECRASHER
COLOSSUS II/PETER RA,MASTERMIND/JASON WYN
COLOSSUS II/PETER RA,GATEWAY
COMANCHE,"ROYCE, JENNIE"
COMET/HARRIS MOORE,SPHINX
COMET/HARRIS MOORE,QUASIMODO
"CONAN, NEAL","MOY, ALYSSA"
CONDOR,SAYGE
"CONNORS, BILLY","CONNORS, MARTHA"
"CONNORS, MARTHA",SILVERMANE/SILVIO MA
"CONNORS, MARTHA","JAMESON, J. JONAH"
"CONOVER, REV. WILLIA",PSYLOCKE/ELISABETH B
CONSTRICTOR/FRANK PA,FONTANELLE/GLORIA DA
CONSTRICTOR/FRANK PA,THOR/DR. DONALD BLAK
CONSTRICTOR/FRANK PA,WATER WIZARD/PETE
CONSUELA,IRON MAN/TONY STARK 
CONSUELA,HANGMAN II/JASON ROL
CONTEMPLATOR/TATH KI,THANOS
"CONTONI, PAUL","LEEDS, BETTY BRANT"
CONTROLLER/BASIL SAN,DRAX/ARTHUR DOUGLAS
CONTROLLER/BASIL SAN,"KINCAID, DR. JANE FO"
CONTROLLER/BASIL SAN,SERSI/SYLVIA
CONTROLLER/BASIL SAN,"O'BRIEN, MICHAEL"
CONTROLLER/BASIL SAN,DR. DOOM/VICTOR VON 
"CONWAY, GERRY",INVISIBLE WOMAN/SUE 
"COOPER, COLE",HOBGOBLIN V/JASON PH
"COOPER, DR. VALERIE",HAVOK/ALEX SUMMERS 
"COOPER, DR. VALERIE","GYRICH, HENRY PETER"
"COOPER, DR. VALERIE","GYRICH, HENRY PETER"
"COOPER, DR. VALERIE",WAR/ABRAHAM LINCOLN 
"COOPER, DR. VALERIE",MARVEL GIRL/JEAN GRE
"COOPER, DR. VALERIE",NIGHTCRAWLER/KURT WA
"COOPER, DR. VALERIE",SENTRY 459
"COOPER, DR. VALERIE",SERSI/SYLVIA
"COOPER, DR. VALERIE","STERMAN, ANDREA ANDI"
"COOPER, DR. VALERIE",MOONSTONE II/KARLA S
"COOPER, DR. VALERIE",ROGUE /
"COOPER, DR. VALERIE",SUNDER
"COOPER, ROGER CAPS",NOVA/RICHARD RIDER
COPPERHEAD III/DAVIS,DIAMONDBACK II/RACHE
COPPERHEAD III/DAVIS,RATTLER
COPPERHEAD IV/,DAREDEVIL/MATT MURDO
COPYCAT/VANESSA,FERAL/MARIA CALLASAN
COPYCAT/VANESSA,"SUMMERS, NATHAN CHRI"
"CORBEAU, DR. PETER",IRON MAN/TONY STARK 
"CORBEAU, DR. PETER",WOLVERINE/LOGAN 
"CORBEAU, DR. PETER",CYCLOPS/SCOTT SUMMER
"CORD, EDWIN",CRIMSON DYNAMO V/DIM
"CORD, EDWIN",OGRE
"CORD, EDWIN","GILLISPIE, ANDREW AN"
"CORD, EDWIN",CRIMSON COWL II/
"CORD, JANICE","SANDHURST, VINCENT"
"CORD, JANICE",CRIMSON DYNAMO III/A
"CORDOVA, JUAN","POWER, MARGARET"
CORONARY/JIMMY SHARP,NIGHT THRASHER/DUANE
CORSAIR,K'RK [SHI'AR]
CORSAIR,WALDO
CORSAIR,MAM'SELLE HEPZIBAH
CORSAIR,MAM'SELLE HEPZIBAH
CORSAIR,LOCKHEED
CORSAIR,LILANDRA NERAMANI [S
CORSAIR,NIGHTCRAWLER/KURT WA
"CORSI, TOM",SKIN/ANGELO ESPINOSA
"CORTES, MARIA PILAR",ROGUE /
"CORTEZ, FABIAN",OMEGA RED/ARKADY ROS
"CORTEZ, FABIAN","VOGHT, AMELIA"
"CORTEZ, FABIAN",MAN-BEAST
"CORTEZ, FABIAN",IRON FIST/DANIEL RAN
COTTONMOUTH II,DEATH ADDER
COTTONMOUTH II,DIAMONDBACK II/RACHE
COTTONMOUTH II,SIDEWINDER/SETH VOEL
"COUNT NEFARIA, LUCHI",SCARECROW/EBENEZER L
"COUNT NEFARIA, LUCHI",HELLEN
"COUNT NEFARIA, LUCHI",PENANCE/MONET ST. CR
"COUNT NEFARIA, LUCHI",SCARLET WITCH/WANDA 
COUNTERWEIGHT II/KAT,WOLFSBANE/RAHNE SINC
COUNTERWEIGHT II/KAT,PLAGUE
COUNTERWEIGHT II/KAT,"RICHARDS, FRANKLIN B"
COUNTERWEIGHT/JACK P,FRIDAY
COUNTERWEIGHT/JACK P,SUNDER
COUNTERWEIGHT/JACK P,"POWER, DR. JIM"
COUNTERWEIGHT/JACK P,ENCHANTRESS/AMORA/HE
COUNTERWEIGHT/JACK P,RED GHOST/IVAN KRAGO
COUNTERWEIGHT/JACK P,VOLCANA/MARSHA ROSEN
COUNTERWEIGHT/JACK P,NIGHTCRAWLER/KURT WA
COUNTERWEIGHT/JACK P,DAGGER/TANDY BOWEN
COUNTERWEIGHT/JACK P,GEE/ALEX POWER
COUNTERWEIGHT/JACK P,KOFI [KYMELLIAN]
COUNTERWEIGHT/JACK P,NIGHT THRASHER/DUANE
"COWEN, BUCK",WEREWOLF BY NIGHT/JA
"COWEN, BUCK",HANGMAN
"COWEN, ELAINE",WEREWOLF BY NIGHT/JA
"COY, GENERAL NGUYEN ",KARMA/XI'AN COY MANH
"COY, GENERAL NGUYEN ",CYBER
"COY, GENERAL NGUYEN ","THORPE, GAVIN"
"COY, GENERAL NGUYEN ",SPIDER-WOMAN/JESSICA
COYOTE,DESTINY II/IRENE ADL
CR'REEE,"MACTAGGERT, MOIRA KI"
CR'REEE,WOLFSBANE/RAHNE SINC
CR'REEE,MAM'SELLE HEPZIBAH
CR'REEE,WARSTAR
CR'REEE,CYPHER/DOUG RAMSEY
"CRAIG, REV.","DA COSTA, EMMANUEL"
"CRAIG, REV.",NIGHTCRAWLER/KURT WA
CRAZY EIGHT/LESLIE A,"JONES, RICHARD MILHO"
"CREED, GRAYDON",DESTINY II/IRENE ADL
CRIMEBUSTER/FRANK MO,POWERHOUSE/RIEG DAVA
CRIMSON COMMANDO/FRA,PYRO/ALLERDYCE JOHNN
CRIMSON COMMANDO/FRA,PYRO/ALLERDYCE JOHNN
CRIMSON COMMANDO/FRA,"SUMMERS, MADELYNE MA"
CRIMSON COWL II/,POWER MAN/ERIK JOSTE
CRIMSON COWL II/,KLAW/ULYSSES KLAW
CRIMSON DAFFODIL,KINGPIN/WILSON FISK
CRIMSON DYNAMO III/A,EBONY
CRIMSON DYNAMO III/A,MOONDRAGON/HEATHER D
CRIMSON DYNAMO V/DIM,SERSI/SYLVIA
CRIMSON DYNAMO V/DIM,"SITWELL, JASPER"
CRIPPLER/KARL STRIKL,SANDMAN/WILLIAM BAKE
CRIPPLER/KARL STRIKL,"ROMMEL, EDWIN ROMULU"
"CROSS, STANLEY",POWELL
"CROSS-WALLACE, SIR G",SHANNA/SHANNA O'HARA
"CROSSAN, ANNIE",WOLFSBANE/RAHNE SINC
CROSSBONES/BROCK BIN,MACHETE/FERDINAND LO
CRUCIBLE/BYRON CALLE,METEORITE
CRUCIBLE/BYRON CALLE,METEORITE
CRUCIBLE/BYRON CALLE,METEORITE
CRYSTAL [INHUMAN],SCARLET WITCH/WANDA 
CRYSTAL [INHUMAN],SHATTERAX
CRYSTAL [INHUMAN],SHATTERAX
CRYSTAL [INHUMAN],LUNA/LUNA MAXIMOFF [
CRYSTAL [INHUMAN],NAKKA
CRYSTAL [INHUMAN],LYJA LAZERFIST [SKRU
CRYSTAL [INHUMAN],IRON MAN/TONY STARK 
CRYSTAL [INHUMAN],IRON MAN/TONY STARK 
CRYSTAL [INHUMAN],MS. MARVEL II/SHARON
CRYSTAL [INHUMAN],QUASAR III/WENDELL V
CRYSTAL [INHUMAN],DAREDEVIL/MATT MURDO
CRYSTAL [INHUMAN],DAREDEVIL/MATT MURDO
CRYSTAL [INHUMAN],LIVING TRIBUNAL
CRYSTAL [INHUMAN],THING/BENJAMIN J. GR
CRYSTAL [INHUMAN],MALACHI
CRYSTAL [INHUMAN],GORGON [INHUMAN]
CRYSTAL [INHUMAN],"MCLAREN, MEGAN"
CRYSTAL [INHUMAN],INVISIBLE WOMAN/SUE 
CRYSTAL [INHUMAN],JACK FLAG/
CRYSTAL [INHUMAN],SANDMAN/WILLIAM BAKE
CRYSTAL [INHUMAN],SPIDERCIDE
CRYSTAL [INHUMAN],QUICKSILVER/PIETRO M
CRYSTAL [INHUMAN],MR. FANTASTIC/REED R
CRYSTAL [INHUMAN],"JARVIS, EDWIN "
CRYSTAL [INHUMAN],KA-ZAR/KEVIN PLUNDER
"CUSHING, KATE","LEEDS, NED"
"CUSHING, KATE","KATZENBERG, NICK"
"CUSHING, KATE",SPIDER-MAN/PETER PAR
"CUSHING, KATE",TARANTULA II/CAPT. L
"CUSHING, KATE","JAMESON, MARLA MADIS"
CYBER,GAUNTLET
CYCLONE II/PIERRE FR,DRAGONFLY/VERONICA D
CYCLOPS DOPPELGANGER,WOLVERINE/LOGAN 
CYCLOPS/SCOTT SUMMER,"MADDICKS, PROFESSOR "
CYCLOPS/SCOTT SUMMER,POLARIS/LORNA DANE
CYCLOPS/SCOTT SUMMER,POLARIS/LORNA DANE
CYCLOPS/SCOTT SUMMER,POLARIS/LORNA DANE
CYCLOPS/SCOTT SUMMER,PROFESSOR X/CHARLES 
CYCLOPS/SCOTT SUMMER,PROFESSOR X/CHARLES 
CYCLOPS/SCOTT SUMMER,PROFESSOR X/CHARLES 
CYCLOPS/SCOTT SUMMER,PROFESSOR X/CHARLES 
CYCLOPS/SCOTT SUMMER,PROFESSOR X/CHARLES 
